productID,supplierID,product_name,product_type,inventory,price_each,size_ml,flavor,active
1,101,Alpine Crisp,Sparkling,500,3,500,Lime,1
2,101,Mountain Peak Mineral,Mineral,250,4.5,750,Original,1
3,102,Pacific Breeze,Sparkling,0,3.5,500,Grapefruit,1
4,102,Pure Alkaline 9.5,Alkaline,1000,5,1000,Original,1
5,103,Glacier Freeze,Sparkling,150,4,250,Berry,1
6,103,Icelandic Nature,Mineral,300,6,1500,Original,1
7,104,Legacy Oasis,Alkaline,0,2.5,500,Original,0
8,105,Fuji Essence,Alkaline,800,5.5,500,Original,1
9,106,Kentucky Limestone Water,Mineral,400,3.5,1000,Original,1
10,107,Ocean Fizz,Sparkling,120,3,500,Mango,1
11,108,Vibe Electro-Lite,Alkaline,650,4,750,Lemon,1
12,109,Cascade Splendor,Mineral,200,7,2000,Original,1
13,110,Zen Balance 8.0,Alkaline,350,4.5,500,Original,1
14,111,Arctic Frost,Sparkling,80,3.5,500,Blackberry,1
15,112,Deep Well Artesian,Mineral,500,3,1500,Original,1
16,113,Napa Gold Mineral,Mineral,150,8,750,Original,1
17,114,Old Stream Classic,Mineral,0,2,500,Original,0
18,115,Fresh Splash,Sparkling,900,2.5,250,Watermelon,1
19,116,Summit Fizz,Sparkling,600,3.25,500,Lemon,1
20,117,Blue Ridge Bubble,Sparkling,450,3.75,500,Peach,1
21,118,Cascadia Pop,Sparkling,300,2.75,250,Raspberry,1
22,119,Great Lakes Sparkle,Sparkling,200,3.5,500,Cherry,1
23,120,Sonoran Fizz,Sparkling,175,3,250,Cactus Pear,1
24,121,Appalachian Spritz,Sparkling,500,4,750,Apple,1
25,122,Ozark Spring Bubble,Sparkling,350,3.25,500,Grape,1
26,123,Sierra Sparkle,Sparkling,700,3.75,500,Blood Orange,1
27,124,Bayou Fizz,Sparkling,250,2.5,250,Vanilla Cream,1
28,125,Pacific Rim Bubble,Sparkling,420,4.5,750,Passionfruit,1
29,126,Everglades Pop,Sparkling,180,3,500,Key Lime,1
30,127,Columbia Crisper,Sparkling,800,2.75,250,Cucumber,1
31,128,Rocky Fizz,Sparkling,320,3.5,500,Mint,1
32,129,New England Spritz,Sparkling,550,4.25,750,Cranberry,1
33,130,Gulf Coast Bubble,Sparkling,280,3,500,Coconut,1
34,131,Denali Crisp,Sparkling,140,5,500,Pomegranate,1
35,132,Adirondack Fizz,Sparkling,600,3.5,500,Elderflower,1
36,133,Mesa Pop,Sparkling,390,3.25,250,Pineapple,1
37,134,Great Plains Bubble,Sparkling,470,2.75,500,Watermelon,1
38,135,Chesapeake Fizz,Sparkling,510,3.75,500,Strawberry,1
39,136,Volcanic Rise 9.0,Alkaline,900,4.5,500,Original,1
40,137,Teton Peak 9.5,Alkaline,650,5.5,750,Original,1
41,138,Olympic Elevate 8.5,Alkaline,400,4,500,Lemon,1
42,139,Black Hills Alkali,Alkaline,300,4.25,500,Original,1
43,140,Flint Ion Water,Alkaline,200,3.75,500,Original,1
44,141,Rio Grande Rise,Alkaline,750,5,1000,Original,1
45,142,Piedmont pH 9,Alkaline,480,4.5,500,Cucumber,1
46,143,Catskill Alkali,Alkaline,620,5.25,750,Original,1
47,144,Cascade Ion 10,Alkaline,1100,6,1000,Original,1
48,145,Prairie Elevate,Alkaline,560,4,500,Lemon,1
49,146,Blue Hole pH Plus,Alkaline,830,5.5,1000,Original,1
50,147,Smoky Rise,Alkaline,370,4.25,500,Original,1
51,148,Willamette Ion,Alkaline,490,4.75,750,Mint,1
52,149,Puget Alkali 9,Alkaline,310,4.5,500,Original,1
53,150,Salt Flat pH 8,Alkaline,250,3.75,500,Original,1
54,151,High Desert Rise,Alkaline,700,4,500,Grapefruit,1
55,152,Finger Lakes Alkali,Alkaline,420,5,750,Original,1
56,153,Bayou Artesian Ion,Alkaline,580,4.25,500,Original,1
57,154,Olympic pH Balance,Alkaline,660,5.5,1000,Original,1
58,155,Minnesota Ice Alkali,Alkaline,940,4.75,500,Peppermint,1
59,156,Absaroka Deep Mineral,Mineral,380,6.5,1000,Original,1
60,157,Coastal Fog Reserve,Mineral,260,5.75,750,Original,1
61,158,High Country Pure,Mineral,510,4.5,1000,Original,1
62,159,Salish Sea Mineral,Mineral,190,7,750,Original,1
63,160,Loess Hills Spring,Mineral,320,3.75,500,Original,1
64,161,Tahoe Blue Mineral,Mineral,440,8,1500,Original,1
65,162,Hilina Volcanic Mineral,Mineral,230,9,750,Original,1
66,163,Iron Range Select,Mineral,550,4,1000,Original,1
67,164,Longleaf Spring Pure,Mineral,310,3.5,500,Original,1
68,165,Centennial Reserve,Mineral,600,5.25,1500,Original,1
69,116,Summit Peak Mineral,Mineral,280,6,1000,Original,1
70,117,Blue Ridge Reserve,Mineral,420,5.5,750,Original,1
71,118,Cascadia Wild Mineral,Mineral,350,4.25,1000,Original,1
72,119,Great Lakes Reserve,Mineral,490,4.75,1500,Original,1
73,120,Sonoran Deep Spring,Mineral,200,5,750,Original,1
74,121,Appalachian Source,Mineral,360,4.5,1000,Original,1
75,122,Ozark Heritage Mineral,Mineral,280,5.25,750,Original,1
76,123,Sierra Nevada Reserve,Mineral,520,7.5,2000,Original,1
