productID,calcium_mg,magnesium_mg,sodium_mg,mineral_source
2,45.2,12.5,5,Rocky Mountains
6,110,40.25,15.1,Icelandic Underground Aquifer
9,85,30,22,Kentucky Bluegrass Aquifer
12,12,4.5,1.2,Cascade Range Streams
15,0,0,0,Deep Well Pure Artesian
16,200.5,85.4,45,Napa Hills Mineral Spring
17,35,10,8,Old Blue Ridge Spring
59,70,25,7,Wyoming Absaroka Range Spring
60,50,15,4,California Coastal Fog Aquifer
61,45,13,9,Colorado High Country Spring
62,65,22,5,Washington Salish Sea Basin
63,38,11,12,Iowa Loess Hills Underground Spring
64,90,35,2,Lake Tahoe Basin Mineral Vein
65,75,28,3.5,Hawaii Volcanic Mineral Aquifer
66,55,16,20,Minnesota Iron Range Bedrock
67,32,9,11,Georgia Longleaf Pine Aquifer
68,48,14,8,Wyoming Centennial Spring Basin
69,45,12,8,Colorado Summit Peak Spring
70,58,19,6,North Carolina Blue Ridge Aquifer
71,42,11,10,Oregon Cascadia Wild Spring
72,60,20,7,Ohio Great Lakes Deep Vein
73,52,16,9,Arizona Sonoran Desert Aquifer
74,44,13,11,Tennessee Appalachian Deep Spring
75,57,18,5,Missouri Ozark Heritage Spring
76,85,32,1.5,California Sierra Nevada Granite Spring
77,36,10,14,Louisiana Bayou Deep Aquifer
78,92,38,2.5,Hawaii Pacific Rim Deep Spring
79,88,34,2,Florida Everglades Limestone Reserve
83,95,40,1,Gulf of Mexico Deep Offshore Spring
85,50,16,6,New York Adirondack Spring
86,78,29,3,Arizona Mesa Rare Mineral Spring
90,92,36,2.5,Wyoming Teton Black Label Aquifer
103,46,13,9,Utah Salt Flat Ancient Aquifer
105,68,23,4,New York Finger Lakes Basin
107,72,26,3,Washington Olympic Peninsula Spring
109,55,17,8,Wyoming Absaroka Classic Basin
112,48,14,10,Washington Salish Cucumber Spring
115,82,31,2,Hawaii Hilina Volcanic Spring
116,54,16,19,Minnesota Iron Range Classic
