reviewID,userID,transactionID,rating,review_comment,review_date
REV-2024-001,10043,6000084,2,"Pure Alkaline 9.5 tasted metallic to me, which I did not expect at this price. Disappointed.",9/7/2024
REV-2024-002,10046,6000089,2,Volcanic Rise did not match what I was expecting from an alkaline. Too subtle a pH difference for my taste.,10/7/2024
REV-2024-003,10048,6000091,4,Blue Ridge Bubble peach was genuinely delightful. Only leaving because I relocated.,12/7/2024
REV-2024-004,10051,6000094,3,Great Lakes Sparkle cherry is a solid mid-range sparkling. Just not distinct enough for me to stay.,4/7/2024
REV-2024-005,10052,6000095,1,Had four damaged bottles in a 24-pack. This was the third time it happened. Not reordering.,1/7/2024
REV-2024-006,10056,6000099,3,Adirondack Fizz elderflower is interesting but the novelty wore off. Not a reorder for me.,10/7/2024
REV-2024-007,10060,6000101,1,Pacific Breeze grapefruit was completely flat on arrival. No carbonation at all. Very upsetting for a $24 order.,8/8/2024
REV-2025-054,10005,6000029,4,Great bulk packaging options.,8/15/2025
REV-2025-099,10014,6000030,5,"Sad that this supplier went offline, this water was legendary.",10/20/2025
REV-2025-101,10026,6000031,5,Cascade Ion 10 is unreal. I feel the difference in hydration every single week. Keeping this forever.,7/6/2025
REV-2025-102,10026,6000032,5,"Tahoe Blue Mineral is worth every penny. Crisp, clean, zero aftertaste. My households staple.",9/7/2025
REV-2025-103,10026,6000033,4,Teton Peak 9.5 is excellent. Consistent pH across every bottle in the case. One bottle had a cracked seal though.,11/6/2025
REV-2025-104,10027,6000037,5,"Minnesota Ice Alkaline has a very clean, almost glacial quality. Fantastic for post-workout.",10/21/2025
REV-2025-105,10027,6000038,5,Sierra Nevada Reserve 2000ml is phenomenal value and profile. Will reorder every quarter.,12/21/2025
REV-2025-106,10032,6000053,5,High Country Pure mineral content is impressive for the price. My new everyday mineral water.,11/9/2025
REV-2025-107,10035,6000063,4,"Ozark Spring Bubble grape has a very subtle, natural grape note. Great pairing with meals.",3/20/2026
REV-2025-108,10036,6000064,5,Hilina Volcanic in bulk is how I prefer it. The mineral taste is more pronounced at 24-pack scale.,8/8/2025
REV-2025-109,10036,6000065,5,Pacific Rim Reserve is worth every cent. I have tried six alkaline brands this year and this is top tier.,10/9/2025
REV-2025-110,10036,6000066,4,Tahoe Blue remains my go-to mineral. Slightly lower calcium levels this batch but still top-notch.,12/8/2025
REV-2025-111,10040,6000079,5,Hilina Volcanic is my personal standard for mineral water. The volcanic filtration is genuinely unique.,1/8/2026
REV-2025-112,10041,6000082,3,"Alpine Crisp was decent, but not worth the subscription fee for my household. Nothing stood out.",10/20/2025
REV-2025-113,10042,6000083,4,"Fuji Essence is honestly great water. I cancelled the sub for financial reasons, not quality.",5/16/2025
REV-2025-114,10043,6000085,3,Kentucky Limestone is fine but generic. No real reason to keep paying premium for it.,4/7/2025
REV-2025-115,10044,6000086,3,Cascade Splendor is a nice mineral water but overpriced at 2 liters compared to grocery options.,2/7/2025
REV-2025-116,10046,6000088,4,Summit Fizz lemon is clean and refreshing. Sad to let the sub go — life got busy.,7/8/2024
REV-2025-117,10047,6000090,3,Vibe Electro-Lite is okay. The lemon flavor is artificial-tasting. Cancelled after this.,4/7/2025
REV-2025-118,10050,6000093,2,Fuji Essence tasted flat this delivery. Disappointing for the price point. Decided to cancel.,6/8/2025
REV-2025-119,10054,6000097,4,Vibe Electro-Lite is genuinely good. My budget just did not support the subscription anymore.,3/8/2025
REV-2025-120,10057,6000100,2,Vibe Electro-Lite lemon was overly sweet. Left a weird film on my teeth. Will not re-subscribe.,7/8/2025
REV-2025-121,10063,6000104,4,Ocean Fizz mango was tasty. Good for one order.,12/15/2025
REV-2025-122,10071,6000112,3,Kentucky Limestone is average. Not premium enough to justify the cost.,6/7/2025
REV-2025-123,10079,6000120,3,Alpine Crisp is just plain sparkling water. Nothing wrong with it.,6/9/2025
REV-2025-124,10083,6000123,3,Ocean Fizz mango is sweet but I prefer unflavored sparkling.,11/24/2025
REV-2025-125,10085,6000125,4,Vibe Electro-Lite lemon is good for hot weather. Pleasant flavor.,5/6/2025
REV-2026-001,10001,6000001,5,Exceptional crisp taste. Lime flavor is perfectly natural.,5/5/2026
REV-2026-002,10002,6000002,4,"Great mineral profile, but bottle cap was a little tight.",5/9/2026
REV-2026-003,10003,6000003,5,Highly recommend the 9.5 pH Alkaline water. Feel super hydrated.,5/10/2026
REV-2026-004,10004,6000004,3,"The berry sparkling flavor is muted, but carbonation level is fantastic.",5/14/2026
